City,Rank,State,Growth From 2000 to 2013,Population,Coordinates
Wilson,753,North Carolina,10.1,49628,35.7212689
Niagara Falls,754,New York,-10.8,49468,43.0962143
Poway,755,California,2.4,49417,32.9628232
Edina,756,Minnesota,4.1,49376,44.8896866
Cuyahoga Falls,757,Ohio,-0.2,49267,41.1339449
Rancho Santa Margarita,758,California,4.6,49228,33.640855
Harrisburg,759,Pennsylvania,0.6,49188,40.2731911
Huntington,760,West Virginia,-5,49177,38.4192496
La Mirada,761,California,4.6,49133,33.9172357
Cypress,762,California,5.3,49087,33.8169599
Caldwell,763,Idaho,77.1,48957,43.6629384
Logan,764,Utah,14.5,48913,41.7369803
Galveston,765,Texas,-15.2,48733,29.3013479
Sheboygan,766,Wisconsin,-3.9,48725,43.7508284
Middletown,767,Ohio,-5.7,48630,39.5150576
Murray,768,Utah,6.6,48612,40.6668916
Roswell,769,New Mexico,7.5,48611,33.3942655
Parker,770,Colorado,96.4,48608,39.5186002
Bedford,771,Texas,2.9,48592,32.844017
East Lansing,772,Michigan,4.2,48554,42.7369792
Methuen,773,Massachusetts,10.3,48514,42.7262016
Covina,774,California,3.3,48508,34.0900091
Alexandria,775,Louisiana,4.1,48426,31.3112936
Olympia,776,Washington,12.1,48338,47.0378741
Euclid,777,Ohio,-8.4,48139,41.5931049
Mishawaka,778,Indiana,2,47989,41.6619927
Salina,779,Kansas,4.5,47846,38.8402805
Azusa,780,California,6.7,47842,34.1336186
Newark,781,Ohio,3.1,47777,40.0581205
Chesterfield,782,Missouri,1.9,47749,38.6631083
Leesburg,783,Virginia,66,47673,39.1156615
Dunwoody,784,Georgia,,47591,33.9462125
Hattiesburg,785,Mississippi,3.1,47556,31.3271189
Roseville,786,Michigan,-1,47555,42.4972583
Bonita Springs,787,Florida,43.8,47547,26.339806
Portage,788,Michigan,5.7,47523,42.2011538
St. Louis Park,789,Minnesota,7.3,47411,44.9597376
Collierville,790,Tennessee,43.4,47333,35.042036
Middletown,791,Connecticut,3.6,47333,41.5623209
Stillwater,792,Oklahoma,20.1,47186,36.1156071
East Providence,793,Rhode Island,-3.3,47149,41.8137116
Lawrence,794,Indiana,20.5,47135,39.8386516
Wauwatosa,795,Wisconsin,0,47134,43.0494572
Mentor,796,Ohio,-6.6,46979,41.6661573
Ceres,797,California,34,46714,37.5949316
Cedar Hill,798,Texas,42.4,46663,32.5884689
